Артикул,Артикул Каспи,Название,Ссылка,Статус,NTIN,Город,Цена,Цена 1 места,Цена закупа,Автоснижение,Мин.цена,Автоповышение,Макс.цена,Шаг демпинга,Позиция,Остатки,Предзаказ
123302768_4568311,123302768,Пуходерка эстетичная для кошек и собак серый,https://kaspi.kz/shop/p/puhoderka-estetichnaja-dlja-koshek-i-sobak-seryi-123302768/,Снято с продажи,,Астана,484,494,0,1,425,1,0,0,0,0,0
106873799_55677899,106873799,Ростомер зверюшки BR64322 113x67 см,https://kaspi.kz/shop/p/rostomer-zverjushki-br64322-113x67-sm-106873799/,Снято с продажи,,Астана,1229,1249,0,0,1247,0,0,0,0,0,0
11779264738,120928138,Вакуумные пакеты многоразовые для замораживания 15шт,https://kaspi.kz/shop/p/vakuumnye-pakety-mnogorazovye-dlja-zamorazhivanija-15sht-120928138/,Снято с продажи,,Астана,3000,3001,0,1,0,1,0,0,0,0,0
11779264765,133172789,Z123XZ серый,https://kaspi.kz/shop/p/z123xz-seryi-133172789/,Снято с продажи,,Астана,42000,0,0,1,47000,1,0,0,0,0,0
902407013,129475297,"Clean car белый, мультиколор",https://kaspi.kz/shop/p/clean-car-belyi-mul-tikolor-129475297/,Снято с продажи,,Астана,41328,113999,0,1,40000,1,0,0,0,0,0
627622866,119265886,"Подставка 627622866, пластик, металл",https://kaspi.kz/shop/p/podstavka-627622866-plastik-metall-119265886/,Снято с продажи,,Астана,2960,3039,0,0,3000,0,0,0,0,0,0
23465332267,116304413,Веб-няня 1881991199,https://kaspi.kz/shop/p/veb-njanja-1881991199-116304413/,Снято с продажи,,Астана,7400,7195,0,0,7000,0,0,0,0,0,0
11779264761,131615149,"Ограничитель дверей и ящиков 898731281, 1 шт, пластик, белый",https://kaspi.kz/shop/p/ogranichitel-dverei-i-jaschikov-898731281-1-sht-plastik-belyi-131615149/,Снято с продажи,,Астана,500,997,0,1,350,1,0,0,0,0,0
23465332201,109420506,"Клеенка 17799006_588606 150x45 см, полиэтилен",https://kaspi.kz/shop/p/kleenka-17799006-588606-150x45-sm-polietilen-109420506/,Снято с продажи,,Астана,650,728,0,0,717,0,0,0,0,0,0
23465332192,121313591,Органайзер для моющих средств Органайзер 21x25 см,https://kaspi.kz/shop/p/organaizer-dlja-mojuschih-sredstv-organaizer-21x25-sm-121313591/,Снято с продажи,,Астана,2786,2699,0,1,2786,1,0,0,0,0,0
11779264746,101615095,WIWU MagSafe 15W Desktop M5 белый,https://kaspi.kz/shop/p/wiwu-magsafe-15w-desktop-m5-belyi-101615095/,Снято с продажи,,Астана,1200,1379,0,1,1500,1,0,0,0,0,0
23465332191,112266537,Табличка Номер телефона 13x2 см,https://kaspi.kz/shop/p/tablichka-nomer-telefona-13x2-sm-112266537/,Снято с продажи,,Астана,609,610,0,1,500,1,0,0,0,0,0
23465332197,115948641,Органайзер 998739 черный,https://kaspi.kz/shop/p/organaizer-998739-chernyi-115948641/,Опубликовано,,Астана,2900,3639,0,0,2965,0,0,0,0,0,0
23465332242,131588762,Светодиодный дисплей 019624,https://kaspi.kz/shop/p/svetodiodnyi-displei-019624-131588762/,Опубликовано,,Астана,9788,9790,0,0,10100,0,0,0,0,0,0
11779264735,103577065,"KVARTIRA коврик Mat4x5, силикон",https://kaspi.kz/shop/p/kvartira-kovrik-mat4x5-silikon-103577065/,Снято с продажи,,Астана,579,588,0,1,500,1,0,0,0,0,0
